"Day","Items","Note","Amount"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12655","(75000)"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12655","(85000)"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12655","(95000)"
"90","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"90","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"90","Human Resource Expense","Counselled","(2000)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"90","Salary Expense","Cash Payment - Salary Expense","(29329)"
"90","Sales E Commerce","Revenue - E-Commerce Sales","14159"
"90","Retail","Revenue - Retail Sales New York - Mouthwash","13980"
"90","Retail","Revenue - Retail Sales New York - Body Wash","14355"
"90","Retail","Revenue - Retail Sales New York - Shampoo","9730"
"90","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6528"
"90","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8015"
"90","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6475"
"90","Retail","Revenue - Retail Sales Detroit - Mouthwash","7040"
"90","Retail","Revenue - Retail Sales Detroit - Body Wash","6624"
"90","Retail","Revenue - Retail Sales Detroit - Shampoo","7104"
"90","Rental Expense","Cash Payment - RentalNew York","(10720)"
"90","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"90","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"90","Rental Expense","Cash Payment - RentalMiami","(7200)"
"89","Human Resource Expense","Counselled","(2000)"
"89","Wholesales (B2B)","Revenue - B2B SO ID: 12502","790525"
"89","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"89","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
